Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
38657386,Leadership: In Turbulent Times,Doris Kearns Goodwin,"Goodwin, Doris Kearns",,"=""""","=""""",0,4.41,Simon & Schuster,Hardcover,473,2018,2018,,2018/10/13,to-read,to-read (#286),to-read,,,,0,0
31450584,Life in Code: A Personal History of Technology,Ellen Ullman,"Ullman, Ellen",,"=""0374534519""","=""9780374534516""",0,3.95,MCD,Hardcover,320,2017,2017,,2018/10/04,to-read,to-read (#285),to-read,,,,0,0
30007916,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,"=""""","=""""",5,4.33,Viking,Kindle Edition,502,2016,2016,2018/09/30,2018/09/16,,,read,,,,1,0
38649807,The Fixer: My Adventures Saving Startups from Death by Politics,Bradley Tusk,"Tusk, Bradley",,"=""0525536493""","=""9780525536499""",0,3.87,Portfolio,Hardcover,256,2018,,,2018/09/20,to-read,to-read (#284),to-read,,,,0,0
40501533,Creative Selection: Inside Apple's Design Process During the Golden Age of Steve Jobs,Ken Kocienda,"Kocienda, Ken",,"=""""","=""""",4,4.06,St. Martin's Press,Kindle Edition,306,2018,2018,2018/09/17,2018/09/04,,,read,,,,1,0
6656593,"The Sicilian (The Godfather, #2)",Mario Puzo,"Puzo, Mario",,"=""""","=""""",5,4.02,Ballantine Books,Kindle Edition,416,2004,1984,2018/09/12,2018/08/27,,,read,,,,1,0
6342995,The Score Takes Care of Itself: My Philosophy of Leadership,Bill   Walsh,"Walsh, Bill","Steve Jamison, Craig Walsh","=""1591842662""","=""9781591842668""",0,4.23,Portfolio,Hardcover,288,2009,2009,,2018/09/05,to-read,to-read (#283),to-read,,,,0,0
145565,The Essays of Warren Buffett : Lessons for Corporate America,Warren Buffett,"Buffett, Warren",Lawrence A. Cunningham,"=""0966446119""","=""9780966446111""",0,4.30,The Cunningham Group,Paperback,256,2001,1998,,2018/09/05,to-read,to-read (#282),to-read,,,,0,0
22034,"The Godfather (The Godfather, #1)",Mario Puzo,"Puzo, Mario","Robert Thompson, Peter Bart","=""""","=""""",4,4.38,NAL,Paperback,448,2002,1969,,2018/06/24,,,read,,,,1,0
22027,The Dark Arena,Mario Puzo,"Puzo, Mario",,"=""0345441699""","=""9780345441690""",0,3.38,Ballantine Books,Mass Market Paperback,288,2001,1955,,2018/08/27,to-read,to-read (#281),to-read,,,,0,0
6561385,Six Graves to Munich,Mario Puzo,"Puzo, Mario",,"=""1906694230""","=""9781906694234""",0,3.63,MacLehose Press,Paperback,256,2009,1967,,2018/08/27,to-read,to-read (#280),to-read,,,,0,0
22031,The Fourth K,Mario Puzo,"Puzo, Mario",,"=""0345476735""","=""9780345476739""",0,3.60,Ballantine Books,Mass Market Paperback,479,2004,1990,,2018/08/27,to-read,to-read (#279),to-read,,,,0,0
22035,Fools Die,Mario Puzo,"Puzo, Mario",,"=""0451160193""","=""9780451160195""",0,3.75,Signet,Mass Market Paperback,531,1979,1978,,2018/08/27,to-read,to-read (#276),to-read,,,,0,0
22028,Omerta,Mario Puzo,"Puzo, Mario",,"=""0345432401""","=""9780345432407""",0,3.75,Ballantine Books,Mass Market Paperback,369,2001,2000,,2018/08/27,to-read,to-read (#277),to-read,,,,0,0
364089,The Last Don (Mario Puzo's Mafia),Mario Puzo,"Puzo, Mario",,"=""0345412214""","=""9780345412218""",0,3.87,Ballantine Books,Mass Market Paperback,502,1997,1996,,2018/08/27,to-read,to-read (#275),to-read,,,,0,0
25111093,The Geography of Genius: A Search for the World's Most Creative Places from Ancient Athens to Silicon Valley,Eric    Weiner,"Weiner, Eric",,"=""1451691653""","=""9781451691658""",0,3.79,Simon & Schuster,Hardcover,368,2016,2016,,2018/08/06,to-read,to-read (#273),to-read,,,,0,0
430365,All Will Be Well: A Memoir,John McGahern,"McGahern, John",,"=""1400044960""","=""9781400044962""",0,4.12,Knopf,Hardcover,304,2006,2005,,2018/08/03,to-read,to-read (#272),to-read,,,,0,0
